scenario,endpoint,http_method,sql_or_query_path,heaviness,notes
Product Health - Online Availability,/api/digital-shelf/product-health/online-availability/products,POST,"WITH filtered AS (SELECT PLATFORM, SOURCE_PRODUCT_ID, PRODUCT_NAME, BRAND_NAME, L2/L3/L4, SHOP_NAME, IS_OFFICIAL_SHOP, PRODUCT_URL, RECORDED_ON, REGION, STOCK FROM <SNOWFLAKE_DB> WHERE RECORDED_ON >= ? AND RECORDED_ON < ? AND JSON-based channel/brand/category/shop filters), latest_date AS (...), latest_filtered AS (...), latest_attrs AS (... QUALIFY ROW_NUMBER() OVER (PARTITION BY channel, SOURCE_PRODUCT_ID ORDER BY product_name empties last, RECORDED_ON DESC)=1), agg_metrics AS (...), agg AS (...), paged AS (...) SELECT channel/product fields ORDER BY <sort> LIMIT ?",heavy,Multiple CTEs and QUALIFY ROW_NUMBER over product snapshots
Product Health - Ratings and Reviews,/api/digital-shelf/shops-by-brands,POST,"SELECT BRAND_NAME, ARRAY_AGG(DISTINCT SHOP_NAME) AS shops FROM <SNOWFLAKE_DB> <date/country/category/brand/channel/shop filters> GROUP BY BRAND_NAME ORDER BY BRAND_NAME",medium,Grouped ARRAY_AGG by brand
Product Health - Ratings and Reviews,/api/digital-shelf/competitor-brands,POST,"SELECT DISTINCT BRAND_NAME FROM <SNOWFLAKE_DB> <date/country/category/channel filters> AND BRAND_NAME NOT IN (<excludedBrands>) AND BRAND_NAME IS NOT NULL AND TRIM(BRAND_NAME) <> '' ORDER BY BRAND_NAME",light,Distinct brand lookup
Product Health - Ratings and Reviews,/api/digital-shelf/product-health/ratings-reviews/metrics,POST,"WITH product_level AS (SELECT BRAND_NAME, SOURCE_PRODUCT_ID, AVG(AVG_RATING) AS avg_rating, AVG(REVIEW_COUNT) AS avg_review_count FROM <SNOWFLAKE_DB> <filters> GROUP BY BRAND_NAME, SOURCE_PRODUCT_ID) SELECT BRAND_NAME, COUNT(*) total products, COUNT(CASE WHEN avg_rating > <benchmark> THEN 1 END), COUNT(CASE WHEN avg_rating <= <benchmark> THEN 1 END), review concentration GROUP BY BRAND_NAME",heavy,Aggregated ratings and review counts
Product Health - Ratings and Reviews,/api/digital-shelf/product-health/ratings-reviews/products,POST,"WITH filtered AS (SELECT PLATFORM, SOURCE_PRODUCT_ID, PRODUCT_NAME, BRAND_NAME, L2/L3/L4, SHOP_NAME, IS_OFFICIAL_SHOP, PRODUCT_URL, RECORDED_ON, AVG_RATING, REVIEW_COUNT FROM <SNOWFLAKE_DB> <JSON-based filters>), latest_date AS (...), latest_filtered AS (...), latest_attrs AS (... QUALIFY ROW_NUMBER()), agg_metrics AS (GROUP BY channel, SOURCE_PRODUCT_ID with AVG(AVG_RATING), MAX_BY(RATING_COUNT, RECORDED_ON), MAX_BY(REVIEW_COUNT, RECORDED_ON)), agg AS (...), paged AS (...) SELECT ordered paged product rows",heavy,QUALIFY ROW_NUMBER plus aggregate metrics per product
Product Health - Price Competitiveness,/api/digital-shelf/shops-by-brands,POST,"SELECT BRAND_NAME, ARRAY_AGG(DISTINCT SHOP_NAME) AS shops FROM <SNOWFLAKE_DB> <date/country/category/brand/channel/shop filters> GROUP BY BRAND_NAME ORDER BY BRAND_NAME",medium,Grouped ARRAY_AGG by brand
Product Health - Price Competitiveness,/api/digital-shelf/competitor-brands,POST,"SELECT DISTINCT BRAND_NAME FROM <SNOWFLAKE_DB> <date/country/category/channel filters> AND BRAND_NAME NOT IN (<excludedBrands>) AND BRAND_NAME IS NOT NULL AND TRIM(BRAND_NAME) <> '' ORDER BY BRAND_NAME",light,Distinct brand lookup
Product Health - Price Competitiveness,/api/digital-shelf/product-health/price-competitiveness/metrics,POST,"SELECT <groupByColumn> AS name, COUNT(DISTINCT SOURCE_PRODUCT_ID) AS totalNumberOfProducts, AVG(CASE WHEN SKU_PRICE_BEFORE_DISCOUNT > 0 AND SKU_PRICE_AFTER_DISCOUNT > 0 THEN ((SKU_PRICE_BEFORE_DISCOUNT - SKU_PRICE_AFTER_DISCOUNT) * 100.0 / SKU_PRICE_BEFORE_DISCOUNT) ELSE 0 END) AS averageDiscountDepth FROM <SNOWFLAKE_DB> <filters> GROUP BY <groupByColumn>",heavy,Historical comparison and grouped price aggregation
Product Health - Price Competitiveness,/api/digital-shelf/product-health/price-competitiveness/products,POST,"WITH filtered_current AS (...), filtered_prev AS (...), latest_attrs_current AS (... QUALIFY ROW_NUMBER()), latest_prices_current AS (... QUALIFY ROW_NUMBER()), latest_prices_prev AS (... QUALIFY ROW_NUMBER()), curr_agg AS (...), prev_agg AS (...), joined AS (... current vs previous prices and discount), paged AS (...) SELECT channel, product, current/previous price deltas, max_discount ORDER BY <sort> LIMIT ?",heavy,Multiple latest/current/previous price CTEs and QUALIFY windows
Product Health - Content Quality,/api/digital-shelf/shops-by-brands,POST,"SELECT BRAND_NAME, ARRAY_AGG(DISTINCT SHOP_NAME) AS shops FROM <SNOWFLAKE_DB> <date/country/category/brand/channel/shop filters> GROUP BY BRAND_NAME ORDER BY BRAND_NAME",medium,Grouped ARRAY_AGG by brand
Product Health - Content Quality,/api/digital-shelf/competitor-brands,POST,"SELECT DISTINCT BRAND_NAME FROM <SNOWFLAKE_DB> <date/country/category/channel filters> AND BRAND_NAME NOT IN (<excludedBrands>) AND BRAND_NAME IS NOT NULL AND TRIM(BRAND_NAME) <> '' ORDER BY BRAND_NAME",light,Distinct brand lookup
Product Health - Content Quality,/api/digital-shelf/product-health/content-quality/metrics,POST,"SELECT <ratioGroupByColumn> AS name, COUNT(DISTINCT SOURCE_PRODUCT_ID) AS total products, AVG(CNT_TOTAL_SCORE), AVG(CNT_TITLE_SCORE), AVG(CNT_DESC_SCORE), AVG(CNT_IMG_SCORE), AVG(CNT_VID_SCORE), AVG(CNT_BONUS_SCORE) and benchmark-based pass ratios FROM <SNOWFLAKE_DB> <filters> GROUP BY <ratioGroupByColumn>",heavy,Aggregated content scoring calculations
Product Health - Content Quality,/api/digital-shelf/product-health/content-quality/products,POST,"WITH filtered AS (SELECT PLATFORM, SOURCE_PRODUCT_ID, PRODUCT_NAME, BRAND_NAME, L2/L3/L4, SHOP_NAME, IS_OFFICIAL_SHOP, PRODUCT_URL, RECORDED_ON, CNT_TITLE_SCORE, CNT_TOTAL_SCORE, CNT_DESC_SCORE, CNT_IMG_SCORE, CNT_VID_SCORE, CNT_BONUS_SCORE FROM <SNOWFLAKE_DB> <JSON-based filters>), latest_date AS (...), latest_filtered AS (...), latest_attrs AS (... QUALIFY ROW_NUMBER()), agg_metrics AS (MAX_BY content scores at latest RECORDED_ON), agg AS (...), paged AS (...) SELECT ordered paged product rows",heavy,QUALIFY ROW_NUMBER plus latest content score selection
Global Score Card,/api/digital-shelf/global-score-card/trend-metrics,POST,"For each metric in [Online Availability, Ratings, Reviews, Content Quality]: SELECT grouped daily pass ratio by REGION / PLATFORM / category from <SNOWFLAKE_DB>; Online Availability uses WITH base -> daily_status -> grouped pass ratio, other metrics use COUNT(DISTINCT CASE WHEN <benchmark condition> THEN SOURCE_PRODUCT_ID END) / COUNT(DISTINCT SOURCE_PRODUCT_ID)",heavy,Loops across metric set and runs grouped trend calculations
Global Score Card,/api/digital-shelf/global-score-card/table-metrics,POST,"calculateTableMetrics: SELECT [group], COUNT(DISTINCT SOURCE_PRODUCT_ID) totalProducts, COUNT(DISTINCT CASE WHEN AVG_RATING >= <ratingBenchmark> THEN SOURCE_PRODUCT_ID END) ratingsPassCount, COUNT(DISTINCT CASE WHEN REVIEW_COUNT >= <reviewBenchmark> THEN SOURCE_PRODUCT_ID END) reviewsPassCount, COUNT(DISTINCT CASE WHEN CNT_TOTAL_SCORE >= <contentBenchmark> THEN SOURCE_PRODUCT_ID END) contentQualityPassCount FROM <SNOWFLAKE_DB> <filters> GROUP BY [group]; calculateOnlineAvailabilityTableMetrics: WITH base -> daily_status -> product_metrics SELECT AVG(onlineAvailability)",heavy,Runs grouped and total calculations for multiple scorecard metrics
Global Score Card,/api/digital-shelf/global-score-card/country-table-metrics-batch,POST,"Service fan-out: execute getTableMetricsByCountry once for globalBenchmark, then once per country in countryBenchmarks; each call runs calculateTableMetrics(REGION) + calculateTableMetrics(total) + calculateOnlineAvailabilityTableMetrics(REGION) + calculateOnlineAvailabilityTableMetrics(total)",heavy,Service fans out into global plus per-country table calculations
